category,Days,Month,Year,city
Good,18,1,2016,Beijing
Moderate,4,1,2016,Beijing
Unhealthy for Sensitive Groups,5,1,2016,Beijing
Unhealthy,1,1,2016,Beijing
Very Unhealthy,3,1,2016,Beijing
Hazardous,0,1,2016,Beijing
Good,23,2,2016,Beijing
Moderate,2,2,2016,Beijing
Unhealthy for Sensitive Groups,2,2,2016,Beijing
Unhealthy,2,2,2016,Beijing
Very Unhealthy,0,2,2016,Beijing
Hazardous,0,2,2016,Beijing
Good,13,3,2016,Beijing
Moderate,6,3,2016,Beijing
Unhealthy for Sensitive Groups,6,3,2016,Beijing
Unhealthy,2,3,2016,Beijing
Very Unhealthy,2,3,2016,Beijing
Hazardous,2,3,2016,Beijing
Good,10,4,2016,Beijing
Moderate,14,4,2016,Beijing
Unhealthy for Sensitive Groups,6,4,2016,Beijing
Unhealthy,0,4,2016,Beijing
Very Unhealthy,0,4,2016,Beijing
Hazardous,0,4,2016,Beijing
Good,16,5,2016,Beijing
Moderate,13,5,2016,Beijing
Unhealthy for Sensitive Groups,1,5,2016,Beijing
Unhealthy,1,5,2016,Beijing
Very Unhealthy,0,5,2016,Beijing
Hazardous,0,5,2016,Beijing
Good,13,6,2016,Beijing
Moderate,14,6,2016,Beijing
Unhealthy for Sensitive Groups,3,6,2016,Beijing
Unhealthy,0,6,2016,Beijing
Very Unhealthy,0,6,2016,Beijing
Hazardous,0,6,2016,Beijing
Good,13,7,2016,Beijing
Moderate,15,7,2016,Beijing
Unhealthy for Sensitive Groups,3,7,2016,Beijing
Unhealthy,0,7,2016,Beijing
Very Unhealthy,0,7,2016,Beijing
Hazardous,0,7,2016,Beijing
Good,20,8,2016,Beijing
Moderate,11,8,2016,Beijing
Unhealthy for Sensitive Groups,0,8,2016,Beijing
Unhealthy,0,8,2016,Beijing
Very Unhealthy,0,8,2016,Beijing
Hazardous,0,8,2016,Beijing
Good,17,9,2016,Beijing
Moderate,9,9,2016,Beijing
Unhealthy for Sensitive Groups,3,9,2016,Beijing
Unhealthy,1,9,2016,Beijing
Very Unhealthy,0,9,2016,Beijing
Hazardous,0,9,2016,Beijing
Good,12,10,2016,Beijing
Moderate,8,10,2016,Beijing
Unhealthy for Sensitive Groups,5,10,2016,Beijing
Unhealthy,4,10,2016,Beijing
Very Unhealthy,2,10,2016,Beijing
Hazardous,0,10,2016,Beijing
Good,7,11,2016,Beijing
Moderate,10,11,2016,Beijing
Unhealthy for Sensitive Groups,6,11,2016,Beijing
Unhealthy,4,11,2016,Beijing
Very Unhealthy,3,11,2016,Beijing
Hazardous,0,11,2016,Beijing
Good,8,12,2016,Beijing
Moderate,6,12,2016,Beijing
Unhealthy for Sensitive Groups,5,12,2016,Beijing
Unhealthy,1,12,2016,Beijing
Very Unhealthy,8,12,2016,Beijing
Hazardous,3,12,2016,Beijing
Good,8,1,2015,Beijing
Moderate,12,1,2015,Beijing
Unhealthy for Sensitive Groups,3,1,2015,Beijing
Unhealthy,3,1,2015,Beijing
Very Unhealthy,4,1,2015,Beijing
Hazardous,1,1,2015,Beijing
Good,11,2,2015,Beijing
Moderate,4,2,2015,Beijing
Unhealthy for Sensitive Groups,8,2,2015,Beijing
Unhealthy,3,2,2015,Beijing
Very Unhealthy,2,2,2015,Beijing
Hazardous,0,2,2015,Beijing
Good,11,3,2015,Beijing
Moderate,9,3,2015,Beijing
Unhealthy for Sensitive Groups,6,3,2015,Beijing
Unhealthy,2,3,2015,Beijing
Very Unhealthy,3,3,2015,Beijing
Hazardous,0,3,2015,Beijing
Good,8,4,2015,Beijing
Moderate,13,4,2015,Beijing
Unhealthy for Sensitive Groups,5,4,2015,Beijing
Unhealthy,4,4,2015,Beijing
Very Unhealthy,0,4,2015,Beijing
Hazardous,0,4,2015,Beijing
Good,14,5,2015,Beijing
Moderate,13,5,2015,Beijing
Unhealthy for Sensitive Groups,4,5,2015,Beijing
Unhealthy,0,5,2015,Beijing
Very Unhealthy,0,5,2015,Beijing
Hazardous,0,5,2015,Beijing
Good,17,6,2015,Beijing
Moderate,10,6,2015,Beijing
Unhealthy for Sensitive Groups,2,6,2015,Beijing
Unhealthy,1,6,2015,Beijing
Very Unhealthy,0,6,2015,Beijing
Hazardous,0,6,2015,Beijing
Good,14,7,2015,Beijing
Moderate,15,7,2015,Beijing
Unhealthy for Sensitive Groups,2,7,2015,Beijing
Unhealthy,0,7,2015,Beijing
Very Unhealthy,0,7,2015,Beijing
Hazardous,0,7,2015,Beijing
Good,18,8,2015,Beijing
Moderate,12,8,2015,Beijing
Unhealthy for Sensitive Groups,1,8,2015,Beijing
Unhealthy,0,8,2015,Beijing
Very Unhealthy,0,8,2015,Beijing
Hazardous,0,8,2015,Beijing
Good,20,9,2015,Beijing
Moderate,6,9,2015,Beijing
Unhealthy for Sensitive Groups,4,9,2015,Beijing
Unhealthy,0,9,2015,Beijing
Very Unhealthy,0,9,2015,Beijing
Hazardous,0,9,2015,Beijing
Good,17,10,2015,Beijing
Moderate,6,10,2015,Beijing
Unhealthy for Sensitive Groups,3,10,2015,Beijing
Unhealthy,0,10,2015,Beijing
Very Unhealthy,4,10,2015,Beijing
Hazardous,1,10,2015,Beijing
Good,7,11,2015,Beijing
Moderate,9,11,2015,Beijing
Unhealthy for Sensitive Groups,4,11,2015,Beijing
Unhealthy,2,11,2015,Beijing
Very Unhealthy,6,11,2015,Beijing
Hazardous,2,11,2015,Beijing
Good,7,12,2015,Beijing
Moderate,5,12,2015,Beijing
Unhealthy for Sensitive Groups,4,12,2015,Beijing
Unhealthy,5,12,2015,Beijing
Very Unhealthy,6,12,2015,Beijing
Hazardous,3,12,2015,Beijing
Good,7,1,2014,Beijing
Moderate,7,1,2014,Beijing
Unhealthy for Sensitive Groups,6,1,2014,Beijing
Unhealthy,8,1,2014,Beijing
Very Unhealthy,2,1,2014,Beijing
Hazardous,1,1,2014,Beijing
Good,5,2,2014,Beijing
Moderate,5,2,2014,Beijing
Unhealthy for Sensitive Groups,6,2,2014,Beijing
Unhealthy,1,2,2014,Beijing
Very Unhealthy,5,2,2014,Beijing
Hazardous,6,2,2014,Beijing
Good,11,3,2014,Beijing
Moderate,5,3,2014,Beijing
Unhealthy for Sensitive Groups,4,3,2014,Beijing
Unhealthy,6,3,2014,Beijing
Very Unhealthy,4,3,2014,Beijing
Hazardous,1,3,2014,Beijing
Good,4,4,2014,Beijing
Moderate,12,4,2014,Beijing
Unhealthy for Sensitive Groups,11,4,2014,Beijing
Unhealthy,2,4,2014,Beijing
Very Unhealthy,1,4,2014,Beijing
Hazardous,0,4,2014,Beijing
Good,10,5,2014,Beijing
Moderate,14,5,2014,Beijing
Unhealthy for Sensitive Groups,7,5,2014,Beijing
Unhealthy,0,5,2014,Beijing
Very Unhealthy,0,5,2014,Beijing
Hazardous,0,5,2014,Beijing
Good,14,6,2014,Beijing
Moderate,12,6,2014,Beijing
Unhealthy for Sensitive Groups,4,6,2014,Beijing
Unhealthy,0,6,2014,Beijing
Very Unhealthy,0,6,2014,Beijing
Hazardous,0,6,2014,Beijing
Good,9,7,2014,Beijing
Moderate,9,7,2014,Beijing
Unhealthy for Sensitive Groups,9,7,2014,Beijing
Unhealthy,3,7,2014,Beijing
Very Unhealthy,1,7,2014,Beijing
Hazardous,0,7,2014,Beijing
Good,13,8,2014,Beijing
Moderate,13,8,2014,Beijing
Unhealthy for Sensitive Groups,5,8,2014,Beijing
Unhealthy,0,8,2014,Beijing
Very Unhealthy,0,8,2014,Beijing
Hazardous,0,8,2014,Beijing
Good,12,9,2014,Beijing
Moderate,11,9,2014,Beijing
Unhealthy for Sensitive Groups,7,9,2014,Beijing
Unhealthy,0,9,2014,Beijing
Very Unhealthy,0,9,2014,Beijing
Hazardous,0,9,2014,Beijing
Good,8,10,2014,Beijing
Moderate,7,10,2014,Beijing
Unhealthy for Sensitive Groups,4,10,2014,Beijing
Unhealthy,4,10,2014,Beijing
Very Unhealthy,4,10,2014,Beijing
Hazardous,4,10,2014,Beijing
Good,10,11,2014,Beijing
Moderate,10,11,2014,Beijing
Unhealthy for Sensitive Groups,4,11,2014,Beijing
Unhealthy,2,11,2014,Beijing
Very Unhealthy,0,11,2014,Beijing
Hazardous,4,11,2014,Beijing
Good,13,12,2014,Beijing
Moderate,9,12,2014,Beijing
Unhealthy for Sensitive Groups,3,12,2014,Beijing
Unhealthy,4,12,2014,Beijing
Very Unhealthy,1,12,2014,Beijing
Hazardous,1,12,2014,Beijing
Good,4,1,2013,Beijing
Moderate,5,1,2013,Beijing
Unhealthy for Sensitive Groups,7,1,2013,Beijing
Unhealthy,4,1,2013,Beijing
Very Unhealthy,4,1,2013,Beijing
Hazardous,6,1,2013,Beijing
Good,7,2,2013,Beijing
Moderate,8,2,2013,Beijing
Unhealthy for Sensitive Groups,4,2,2013,Beijing
Unhealthy,3,2,2013,Beijing
Very Unhealthy,4,2,2013,Beijing
Hazardous,2,2,2013,Beijing
Good,7,3,2013,Beijing
Moderate,9,3,2013,Beijing
Unhealthy for Sensitive Groups,5,3,2013,Beijing
Unhealthy,3,3,2013,Beijing
Very Unhealthy,5,3,2013,Beijing
Hazardous,2,3,2013,Beijing
Good,11,4,2013,Beijing
Moderate,14,4,2013,Beijing
Unhealthy for Sensitive Groups,3,4,2013,Beijing
Unhealthy,1,4,2013,Beijing
Very Unhealthy,1,4,2013,Beijing
Hazardous,0,4,2013,Beijing
Good,6,5,2013,Beijing
Moderate,16,5,2013,Beijing
Unhealthy for Sensitive Groups,6,5,2013,Beijing
Unhealthy,2,5,2013,Beijing
Very Unhealthy,1,5,2013,Beijing
Hazardous,0,5,2013,Beijing
Good,2,6,2013,Beijing
Moderate,11,6,2013,Beijing
Unhealthy for Sensitive Groups,10,6,2013,Beijing
